ID,householdID,ba001,ba002,da001,da002_1_,da002_2_,ca001,gb001
094004126001,0940041260,1 Male,,1 Very Good,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004126002,0940041260,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004111002,0940041110,1 Male,1 Male,,,99 Never Had the Disease,1 Main Respondent,26 Main Respondent
094004111001,0940041110,2 Female,,4 Poor,,3 Same,1 Main Respondent,26 Main Respondent
094004114001,0940041140,2 Female,,3 Fair,,,,26 Main Respondent
094004119002,0940041190,1 Male,,3 Fair,,,,26 Main Respondent
094004109001,0940041090,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004109002,0940041090,1 Male,,2 Good,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
094004116001,0940041160,1 Male,,2 Good,,3 Same,1 Main Respondent,26 Main Respondent
094004116002,0940041160,2 Female,,3 Fair,3 Same,3 Same,1 Main Respondent,26 Main Respondent
094004117002,0940041170,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
094004117001,0940041170,2 Female,,3 Fair,3 Same,1 Better,1 Main Respondent,27 Main Respondent's Spouse
094004313001,0940043130,2 Female,,2 Good,,,,26 Main Respondent
094004317002,0940043170,2 Female,,,2 Worse,2 Worse,2 Spouse,27 Main Respondent's Spouse
094004317001,0940043170,1 Male,,3 Fair,3 Same,,2 Spouse,27 Main Respondent's Spouse
094004316002,0940043160,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
094004316001,0940043160,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
094004308001,0940043080,2 Female,,3 Fair,,3 Same,,26 Main Respondent
094004305002,0940043050,2 Female,,3 Fair,,3 Same,,26 Main Respondent
094004303001,0940043030,1 Male,,2 Good,3 Same,,2 Spouse,1 HHMemberName[1]
094004303002,0940043030,2 Female,,3 Fair,1 Better,,2 Spouse,1 HHMemberName[1]
094004307001,0940043070,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
094004307002,0940043070,2 Female,,3 Fair,2 Worse,,1 Main Respondent,27 Main Respondent's Spouse
094004319001,0940043190,2 Female,,3 Fair,,3 Same,1 Main Respondent,27 Main Respondent's Spouse
094004319003,0940043190,1 Male,,2 Good,,3 Same,1 Main Respondent,27 Main Respondent's Spouse
094004322001,0940043220,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
094004318001,0940043180,2 Female,,2 Good,,3 Same,1 Main Respondent,26 Main Respondent
094004318002,0940043180,1 Male,,,,3 Same,1 Main Respondent,26 Main Respondent
094004311002,0940043110,1 Male,,,,,1 Main Respondent,26 Main Respondent
094004311001,0940043110,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
094004306002,0940043060,1 Male,,,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004306001,0940043060,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004219001,0940042190,2 Female,,,3 Same,,1 Main Respondent,2 HHMemberName[2]
094004219002,0940042190,1 Male,,,2 Worse,,1 Main Respondent,2 HHMemberName[2]
094004220002,0940042200,1 Male,,5 Very Poor,,,1 Main Respondent,26 Main Respondent
094004220001,0940042200,2 Female,,3 Fair,1 Better,3 Same,1 Main Respondent,26 Main Respondent
094004210002,0940042100,1 Male,,1 Very Good,1 Better,1 Better,2 Spouse,26 Main Respondent
094004210001,0940042100,2 Female,,4 Poor,3 Same,3 Same,2 Spouse,26 Main Respondent
094004205001,0940042050,2 Female,,4 Poor,,,,26 Main Respondent
094004217001,0940042170,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
094004213001,0940042130,1 Male,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
094004213002,0940042130,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
094004226001,0940042260,2 Female,,,,,,26 Main Respondent
094004214001,0940042140,2 Female,,,,3 Same,,1 HHMemberName[1]
094004216002,0940042160,1 Male,,3 Fair,1 Better,3 Same,1 Main Respondent,26 Main Respondent
094004216001,0940042160,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
094004204002,0940042040,2 Female,,3 Fair,,,,26 Main Respondent
094004212002,0940042120,2 Female,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
094004212001,0940042120,1 Male,,,,,1 Main Respondent,26 Main Respondent
094004222001,0940042220,1 Male,,3 Fair,,,,26 Main Respondent
194037223002,1940372230,1 Male,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037223001,1940372230,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037208002,1940372080,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
194037208001,1940372080,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037215002,1940372150,2 Female,,3 Fair,,,,26 Main Respondent
194037219002,1940372190,2 Female,,3 Fair,3 Same,3 Same,,26 Main Respondent
194037209002,1940372090,1 Male,,,,,2 Spouse,26 Main Respondent
194037209001,1940372090,2 Female,,,3 Same,3 Same,2 Spouse,26 Main Respondent
194037214002,1940372140,1 Male,,3 Fair,1 Better,1 Better,2 Spouse,27 Main Respondent's Spouse
194037214001,1940372140,2 Female,,3 Fair,,1 Better,2 Spouse,27 Main Respondent's Spouse
194037206002,1940372060,1 Male,,4 Poor,2 Worse,2 Worse,2 Spouse,27 Main Respondent's Spouse
194037206001,1940372060,2 Female,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037207001,1940372070,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
194037207002,1940372070,2 Female,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
194037218002,1940372180,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037218001,1940372180,2 Female,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
194037204001,1940372040,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037204002,1940372040,1 Male,,,3 Same,,1 Main Respondent,26 Main Respondent
194037224001,1940372240,1 Male,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
194037224002,1940372240,2 Female,,4 Poor,,,1 Main Respondent,26 Main Respondent
194037220001,1940372200,2 Female,,,1 Better,,1 Main Respondent,26 Main Respondent
194037220002,1940372200,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037211001,1940372110,2 Female,,,,,,26 Main Respondent
194037227002,1940372270,2 Female,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037227003,1940372270,1 Male,,,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037212002,1940372120,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
194037212001,1940372120,2 Female,,1 Very Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
194037333002,1940373330,1 Male,,1 Very Good,,,,26 Main Respondent
194037342002,1940373420,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037342001,1940373420,2 Female,,,,,2 Spouse,27 Main Respondent's Spouse
194037301002,1940373010,2 Female,,2 Good,,,1 Main Respondent,1 HHMemberName[1]
194037301001,1940373010,1 Male,,,,,1 Main Respondent,1 HHMemberName[1]
194037320001,1940373200,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037315002,1940373150,1 Male,,2 Good,,,,26 Main Respondent
194037311002,1940373110,1 Male,,2 Good,,,,26 Main Respondent
194037310001,1940373100,1 Male,,1 Very Good,1 Better,,1 Main Respondent,26 Main Respondent
194037310002,1940373100,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
194037329001,1940373290,2 Female,,1 Very Good,1 Better,,,2 HHMemberName[2]
194037316001,1940373160,1 Male,,2 Good,3 Same,,1 Main Respondent,26 Main Respondent
194037316002,1940373160,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037314001,1940373140,1 Male,,,1 Better,,2 Spouse,2 HHMemberName[2]
194037314002,1940373140,2 Female,,2 Good,,99 Never Had the Disease,2 Spouse,2 HHMemberName[2]
194037321001,1940373210,2 Female,,3 Fair,1 Better,,,26 Main Respondent
194037319001,1940373190,1 Male,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
194037319002,1940373190,2 Female,,,3 Same,,1 Main Respondent,26 Main Respondent
194037306002,1940373060,2 Female,,3 Fair,,,,26 Main Respondent
194037325002,1940373250,1 Male,,3 Fair,1 Better,3 Same,1 Main Respondent,27 Main Respondent's Spouse
194037325001,1940373250,2 Female,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
194037345002,1940373450,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
194037345001,1940373450,2 Female,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
194037351001,1940373510,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037351002,1940373510,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037308002,1940373080,1 Male,,,1 Better,,2 Spouse,27 Main Respondent's Spouse
194037308001,1940373080,2 Female,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
194037307001,1940373070,1 Male,,3 Fair,3 Same,3 Same,1 Main Respondent,26 Main Respondent
194037307002,1940373070,2 Female,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
194037340002,1940373400,1 Male,,1 Very Good,3 Same,,1 Main Respondent,26 Main Respondent
194037340001,1940373400,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037326001,1940373260,1 Male,,3 Fair,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
194037326002,1940373260,2 Female,,2 Good,1 Better,,2 Spouse,27 Main Respondent's Spouse
194037348001,1940373480,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037348002,1940373480,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037328001,1940373280,2 Female,,1 Very Good,,,,26 Main Respondent
194037347002,1940373470,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
194037347001,1940373470,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037344001,1940373440,1 Male,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037344002,1940373440,2 Female,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
194037341001,1940373410,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037341002,1940373410,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
194037350001,1940373500,1 Male,,,,,1 Main Respondent,26 Main Respondent
194037350002,1940373500,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037324001,1940373240,1 Male,,3 Fair,,,2 Spouse,26 Main Respondent
194037324002,1940373240,2 Female,,3 Fair,3 Same,3 Same,2 Spouse,26 Main Respondent
194037302002,1940373020,1 Male,,2 Good,,,2 Spouse,26 Main Respondent
194037302001,1940373020,2 Female,,2 Good,,,2 Spouse,26 Main Respondent
194037343001,1940373430,2 Female,,3 Fair,99 Never Had the Disease,,1 Main Respondent,26 Main Respondent
194037343003,1940373430,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037332001,1940373320,1 Male,,,,,1 Main Respondent,26 Main Respondent
194037332002,1940373320,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
194037335002,1940373350,1 Male,,2 Good,3 Same,,1 Main Respondent,26 Main Respondent
194037335001,1940373350,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
194037327002,1940373270,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
194037327001,1940373270,2 Female,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
194037330002,1940373300,1 Male,,1 Very Good,,,2 Spouse,26 Main Respondent
194037330001,1940373300,2 Female,,1 Very Good,,99 Never Had the Disease,2 Spouse,26 Main Respondent
194037336001,1940373360,1 Male,,3 Fair,1 Better,1 Better,1 Main Respondent,26 Main Respondent
194037336002,1940373360,2 Female,,4 Poor,3 Same,3 Same,1 Main Respondent,26 Main Respondent
194037338001,1940373380,1 Male,,3 Fair,1 Better,,1 Main Respondent,26 Main Respondent
194037338002,1940373380,2 Female,,,1 Better,3 Same,1 Main Respondent,26 Main Respondent
194037334001,1940373340,1 Male,,4 Poor,3 Same,1 Better,1 Main Respondent,27 Main Respondent's Spouse
194037334002,1940373340,2 Female,,3 Fair,3 Same,2 Worse,1 Main Respondent,27 Main Respondent's Spouse
194037318002,1940373180,1 Male,,4 Poor,,2 Worse,2 Spouse,27 Main Respondent's Spouse
194037318001,1940373180,2 Female,,2 Good,,3 Same,2 Spouse,27 Main Respondent's Spouse
194037303001,1940373030,1 Male,,,3 Same,3 Same,,2 HHMemberName[2]
194037349001,1940373490,1 Male,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
194037349002,1940373490,2 Female,,4 Poor,2 Worse,2 Worse,2 Spouse,27 Main Respondent's Spouse
194037312001,1940373120,2 Female,,3 Fair,3 Same,,,1 HHMemberName[1]
064028313003,0640283130,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028313002,0640283130,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028316002,0640283160,2 Female,,2 Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
064028316001,0640283160,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
064028317002,0640283170,2 Female,,3 Fair,,,,26 Main Respondent
064028314002,0640283140,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028314001,0640283140,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
064028310001,0640283100,1 Male,,3 Fair,,,,26 Main Respondent
064028308001,0640283080,2 Female,,4 Poor,3 Same,3 Same,,26 Main Respondent
064028305001,0640283050,2 Female,,5 Very Poor,,2 Worse,,26 Main Respondent
064028304001,0640283040,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028304002,0640283040,2 Female,,3 Fair,3 Same,1 Better,2 Spouse,27 Main Respondent's Spouse
064028301001,0640283010,2 Female,,2 Good,3 Same,,,26 Main Respondent
064028106001,0640281060,2 Female,,2 Good,,,,26 Main Respondent
064028105002,0640281050,1 Male,,,3 Same,1 Better,1 Main Respondent,1 HHMemberName[1]
064028105003,0640281050,2 Female,,,,1 Better,1 Main Respondent,1 HHMemberName[1]
064028124001,0640281240,1 Male,,5 Very Poor,2 Worse,2 Worse,1 Main Respondent,26 Main Respondent
064028124002,0640281240,2 Female,,4 Poor,,,1 Main Respondent,26 Main Respondent
064028108002,0640281080,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
064028108003,0640281080,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
064028102001,0640281020,2 Female,,3 Fair,,,,26 Main Respondent
064028121002,0640281210,2 Female,,2 Good,,3 Same,,26 Main Respondent
064028110003,0640281100,1 Male,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
064028110002,0640281100,2 Female,,,,3 Same,1 Main Respondent,26 Main Respondent
064028117002,0640281170,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
064028117001,0640281170,1 Male,,3 Fair,,2 Worse,2 Spouse,27 Main Respondent's Spouse
064028103002,0640281030,1 Male,,3 Fair,,,2 Spouse,26 Main Respondent
064028103001,0640281030,2 Female,,1 Very Good,,,2 Spouse,26 Main Respondent
064028115001,0640281150,2 Female,,,,,,2 HHMemberName[2]
064028126001,0640281260,1 Male,,3 Fair,99 Never Had the Disease,,2 Spouse,27 Main Respondent's Spouse
064028126002,0640281260,2 Female,,,,,2 Spouse,27 Main Respondent's Spouse
064028118002,0640281180,1 Male,,,,3 Same,,26 Main Respondent
064028114002,0640281140,1 Male,,3 Fair,1 Better,1 Better,2 Spouse,27 Main Respondent's Spouse
064028114001,0640281140,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028122001,0640281220,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028122002,0640281220,2 Female,,,,,1 Main Respondent,26 Main Respondent
064028104001,0640281040,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028104002,0640281040,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028119001,0640281190,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
064028119002,0640281190,2 Female,,3 Fair,3 Same,,2 Spouse,27 Main Respondent's Spouse
064028113002,0640281130,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064028113001,0640281130,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
064028208002,0640282080,2 Female,,3 Fair,3 Same,3 Same,1 Main Respondent,26 Main Respondent
064028208001,0640282080,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028218002,0640282180,1 Male,,2 Good,3 Same,,1 Main Respondent,26 Main Respondent
064028218001,0640282180,2 Female,,4 Poor,1 Better,3 Same,1 Main Respondent,26 Main Respondent
064028207002,0640282070,2 Female,,2 Good,,,1 Main Respondent,26 Main Respondent
064028207001,0640282070,1 Male,,,,,1 Main Respondent,26 Main Respondent
064028212001,0640282120,1 Male,,,,3 Same,2 Spouse,27 Main Respondent's Spouse
064028212002,0640282120,2 Female,,4 Poor,,3 Same,2 Spouse,27 Main Respondent's Spouse
064028223001,0640282230,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
064028223002,0640282230,2 Female,,,,,1 Main Respondent,26 Main Respondent
064028205001,0640282050,1 Male,,2 Good,3 Same,,,2 HHMemberName[2]
064028203001,0640282030,2 Female,,3 Fair,,1 Better,1 Main Respondent,26 Main Respondent
064028203002,0640282030,1 Male,,4 Poor,1 Better,1 Better,1 Main Respondent,26 Main Respondent
064028221001,0640282210,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028221002,0640282210,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064028220001,0640282200,1 Male,,1 Very Good,,,,26 Main Respondent
064028210001,0640282100,1 Male,,3 Fair,,,,26 Main Respondent
064028210102,0640282101,2 Female,,3 Fair,,,,26 Main Respondent
064028206001,0640282060,2 Female,,3 Fair,3 Same,,,26 Main Respondent
064028216001,0640282160,2 Female,,3 Fair,,,,26 Main Respondent
064028209001,0640282090,2 Female,,3 Fair,3 Same,,,26 Main Respondent
064028219002,0640282190,2 Female,,3 Fair,,,2 Spouse,26 Main Respondent
064028219001,0640282190,1 Male,,3 Fair,,,2 Spouse,26 Main Respondent
064028225001,0640282250,1 Male,,,,,1 Main Respondent,26 Main Respondent
064028211001,0640282110,2 Female,,4 Poor,,3 Same,,26 Main Respondent
064028228002,0640282280,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064028224002,0640282240,2 Female,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
064028224001,0640282240,1 Male,,,,,2 Spouse,27 Main Respondent's Spouse
064028214001,0640282140,2 Female,,3 Fair,3 Same,,,26 Main Respondent
064028202001,0640282020,2 Female,,3 Fair,3 Same,,,26 Main Respondent
064033321001,0640333210,1 Male,,3 Fair,2 Worse,,2 Spouse,27 Main Respondent's Spouse
064033321002,0640333210,2 Female,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
064033327001,0640333270,1 Male,,2 Good,,,2 Spouse,27 Main Respondent's Spouse
064033327002,0640333270,2 Female,,5 Very Poor,3 Same,3 Same,2 Spouse,27 Main Respondent's Spouse
064033325002,0640333250,2 Female,,3 Fair,,,,26 Main Respondent
064033322001,0640333220,1 Male,,4 Poor,,,1 Main Respondent,27 Main Respondent's Spouse
064033322002,0640333220,2 Female,,5 Very Poor,,,1 Main Respondent,27 Main Respondent's Spouse
064033330002,0640333300,1 Male,,3 Fair,1 Better,,2 Spouse,26 Main Respondent
064033330001,0640333300,2 Female,,3 Fair,1 Better,,2 Spouse,26 Main Respondent
064033341001,0640333410,1 Male,,2 Good,,,,26 Main Respondent
064033324001,0640333240,2 Female,,5 Very Poor,2 Worse,,,26 Main Respondent
064033333001,0640333330,1 Male,,2 Good,,,,26 Main Respondent
064033306002,0640333060,1 Male,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
064033306001,0640333060,2 Female,,4 Poor,3 Same,3 Same,1 Main Respondent,26 Main Respondent
064033301002,0640333010,1 Male,,3 Fair,3 Same,,2 Spouse,27 Main Respondent's Spouse
064033301001,0640333010,2 Female,,5 Very Poor,,,2 Spouse,27 Main Respondent's Spouse
064033331002,0640333310,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
064033331001,0640333310,2 Female,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
064033303001,0640333030,2 Female,,,,,,1 HHMemberName[1]
064033340001,0640333400,1 Male,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
064033340002,0640333400,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033336001,0640333360,2 Female,,3 Fair,,,,26 Main Respondent
064033304002,0640333040,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064033304001,0640333040,2 Female,,3 Fair,,2 Worse,1 Main Respondent,26 Main Respondent
064033343001,0640333430,2 Female,,3 Fair,1 Better,3 Same,2 Spouse,27 Main Respondent's Spouse
064033343002,0640333430,1 Male,,3 Fair,99 Never Had the Disease,,2 Spouse,27 Main Respondent's Spouse
064033307001,0640333070,1 Male,,4 Poor,,,1 Main Respondent,26 Main Respondent
064033307002,0640333070,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033326001,0640333260,1 Male,,5 Very Poor,,3 Same,1 Main Respondent,26 Main Respondent
064033326002,0640333260,2 Female,,3 Fair,,,1 Main Respondent,26 Main Respondent
064033308001,0640333080,2 Female,,3 Fair,,,,1 HHMemberName[1]
064033334001,0640333340,2 Female,,4 Poor,1 Better,,,1 HHMemberName[1]
064033319002,0640333190,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
064033319001,0640333190,2 Female,,4 Poor,1 Better,,1 Main Respondent,26 Main Respondent
064033313002,0640333130,1 Male,,2 Good,,3 Same,1 Main Respondent,26 Main Respondent
064033313001,0640333130,2 Female,,4 Poor,1 Better,,1 Main Respondent,26 Main Respondent
064033316002,0640333160,2 Female,,3 Fair,,,,26 Main Respondent
064033335002,0640333350,1 Male,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
064033335001,0640333350,2 Female,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064033314002,0640333140,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033314001,0640333140,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033318001,0640333180,1 Male,,2 Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
064033318002,0640333180,2 Female,,2 Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
064033328001,0640333280,1 Male,,5 Very Poor,1 Better,3 Same,2 Spouse,27 Main Respondent's Spouse
064033328002,0640333280,2 Female,,2 Good,3 Same,,2 Spouse,27 Main Respondent's Spouse
064033338002,0640333380,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064033317001,0640333170,1 Male,,3 Fair,,,,26 Main Respondent
064033302001,0640333020,1 Male,,,,,1 Main Respondent,26 Main Respondent
064033302002,0640333020,2 Female,,3 Fair,,3 Same,1 Main Respondent,26 Main Respondent
064033309001,0640333090,1 Male,,4 Poor,3 Same,3 Same,2 Spouse,26 Main Respondent
064033309002,0640333090,2 Female,,3 Fair,,1 Better,2 Spouse,26 Main Respondent
064033329002,0640333290,1 Male,,4 Poor,3 Same,,,26 Main Respondent
064033312001,0640333120,1 Male,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
064033312002,0640333120,2 Female,,3 Fair,1 Better,1 Better,1 Main Respondent,27 Main Respondent's Spouse
064033311002,0640333110,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
064033311001,0640333110,2 Female,,2 Good,3 Same,3 Same,1 Main Respondent,27 Main Respondent's Spouse
064033332002,0640333320,1 Male,,1 Very Good,,,2 Spouse,27 Main Respondent's Spouse
064033332001,0640333320,2 Female,,3 Fair,,3 Same,2 Spouse,27 Main Respondent's Spouse
064033310001,0640333100,2 Female,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
064033310002,0640333100,1 Male,,3 Fair,,,1 Main Respondent,26 Main Respondent
064033221001,0640332210,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
064033221002,0640332210,2 Female,,4 Poor,3 Same,,1 Main Respondent,26 Main Respondent
064033234001,0640332340,2 Female,,4 Poor,,2 Worse,,26 Main Respondent
064033207001,0640332070,1 Male,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033207002,0640332070,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033223002,0640332230,1 Male,,3 Fair,,1 Better,1 Main Respondent,26 Main Respondent
064033223001,0640332230,2 Female,,3 Fair,3 Same,2 Worse,1 Main Respondent,26 Main Respondent
064033212001,0640332120,1 Male,,3 Fair,1 Better,,2 Spouse,26 Main Respondent
064033212002,0640332120,2 Female,,4 Poor,1 Better,1 Better,2 Spouse,26 Main Respondent
064033219001,0640332190,1 Male,,4 Poor,,,2 Spouse,27 Main Respondent's Spouse
064033219002,0640332190,2 Female,,4 Poor,,1 Better,2 Spouse,27 Main Respondent's Spouse
064033215001,0640332150,1 Male,,4 Poor,,,,26 Main Respondent
064033225001,0640332250,1 Male,,3 Fair,2 Worse,,,26 Main Respondent
064033213002,0640332130,2 Female,,4 Poor,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
064033213001,0640332130,1 Male,,2 Good,,,1 Main Respondent,27 Main Respondent's Spouse
064033232001,0640332320,1 Male,,3 Fair,1 Better,3 Same,2 Spouse,26 Main Respondent
064033232002,0640332320,2 Female,,2 Good,,,2 Spouse,26 Main Respondent
064033201002,0640332010,1 Male,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
064033201001,0640332010,2 Female,,5 Very Poor,,3 Same,1 Main Respondent,27 Main Respondent's Spouse
064033233001,0640332330,1 Male,,5 Very Poor,,,1 Main Respondent,26 Main Respondent
064033233003,0640332330,2 Female,,1 Very Good,,,1 Main Respondent,26 Main Respondent
064033208002,0640332080,1 Male,,3 Fair,,,2 Spouse,27 Main Respondent's Spouse
064033208001,0640332080,2 Female,,5 Very Poor,,,2 Spouse,27 Main Respondent's Spouse
064033230001,0640332300,1 Male,,2 Good,,,,1 HHMemberName[1]
064033203001,0640332030,2 Female,,5 Very Poor,1 Better,,,26 Main Respondent
064033209002,0640332090,1 Male,,3 Fair,,,2 Spouse,26 Main Respondent
064033209001,0640332090,2 Female,,3 Fair,,,2 Spouse,26 Main Respondent
064033206001,0640332060,2 Female,,2 Good,,,,1 HHMemberName[1]
064033226001,0640332260,1 Male,,3 Fair,3 Same,,2 Spouse,3 HHMemberName[3]
064033226002,0640332260,2 Female,,3 Fair,,,2 Spouse,3 HHMemberName[3]
064033220002,0640332200,1 Male,,2 Good,,,1 Main Respondent,27 Main Respondent's Spouse
064033220001,0640332200,2 Female,,3 Fair,,,1 Main Respondent,27 Main Respondent's Spouse
064033210002,0640332100,1 Male,,3 Fair,3 Same,,1 Main Respondent,27 Main Respondent's Spouse
064033210001,0640332100,2 Female,,2 Good,,,1 Main Respondent,27 Main Respondent's Spouse
064033228001,0640332280,1 Male,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
064033228002,0640332280,2 Female,,3 Fair,3 Same,,1 Main Respondent,26 Main Respondent
064033217002,0640332170,1 Male,,2 Good,,,1 Main Respondent,26 Main Respondent
064033217001,0640332170,2 Female,,4 Poor,1 Better,1 Better,1 Main Respondent,26 Main Respondent
064033231001,0640332310,1 Male,,3 Fair,3 Same,,2 Spouse,26 Main Respondent
